"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17097","verify the create a new event and edit → delete a event","chromium","Thu Dec 11 17:32:12 IST 2025","passed","Thu Dec 11 17:32:29 IST 2025","Calendar > Personal Calendar","","",""
"","19202","verify the create a new event and edit → delete a event","chromium","Thu Dec 11 17:31:53 IST 2025","passed","Thu Dec 11 17:32:12 IST 2025","Calendar > Member calendar full day","","",""
"","23561","verify the create the new event for memebrs and edit → delete a event","chromium","Thu Dec 11 17:31:22 IST 2025","passed","Thu Dec 11 17:31:46 IST 2025","Calendar > Member calendar","","",""
"","17726","verify the create a new event and edit → delete a event","chromium","Thu Dec 11 17:32:29 IST 2025","passed","Thu Dec 11 17:32:47 IST 2025","Calendar > Personal Calendar full day","","",""
